Capture_22:222,
846.799,414.17
847.105,394.58
847.411,397.03
847.717,419.06
848.023,392.14
848.328,502.3
848.634,468.02
848.94,482.71
849.245,401.93
849.551,431.3
849.856,404.38
850.161,406.82
850.467,394.58
850.772,372.55
851.077,480.26
851.382,438.65
851.687,438.65
851.992,414.17
852.297,426.41
852.602,406.82
852.907,362.76
853.211,406.82
853.516,443.54
853.821,399.48
854.125,384.79
854.43,465.58
854.734,541.46
855.039,409.27
855.343,470.47
855.647,404.38
855.952,423.96
856.256,379.9
856.56,421.51
856.864,377.45
857.168,414.17
857.472,423.96
857.776,367.66
858.079,357.86
858.383,477.82
858.687,404.38
858.99,335.83
859.294,345.62
859.598,394.58
859.901,411.72
860.204,399.48
860.508,399.48
860.811,330.94
861.114,350.52
861.417,485.16
861.72,397.03
862.023,426.41
862.326,372.55
862.629,455.78
862.932,360.31
863.235,375
863.538,350.52
863.84,387.24
864.143,423.96
864.446,421.51
864.748,379.9
865.05,426.41
865.353,448.44
865.655,389.69
865.957,406.82
866.26,343.18
866.562,296.67
866.864,406.82
867.166,416.62
867.468,419.06
867.77,490.06
868.072,453.34
868.373,384.79
868.675,345.62
868.977,367.66
869.278,411.72
869.58,423.96
869.881,443.54
870.183,375
870.484,414.17
870.785,421.51
871.087,419.06
871.388,453.34
871.689,419.06
871.99,311.35
872.291,401.93
872.592,441.1
872.893,458.23
873.194,406.82
873.495,362.76
873.795,397.03
874.096,348.07
874.397,397.03
874.697,419.06
874.998,406.82
875.298,316.25
875.598,340.73
875.899,326.04
876.199,401.93
876.499,321.15
876.799,453.34
877.099,333.38
877.399,404.38
877.699,397.03
877.999,401.93
878.299,360.31
878.598,411.72
878.898,463.13
879.198,360.31
879.497,450.89
879.797,465.58
880.096,372.55
880.396,365.21
880.695,372.55
880.994,387.24
881.294,404.38
881.593,411.72
881.892,370.1
882.191,470.47
882.49,409.27
882.789,306.46
883.088,333.38
883.386,431.3
883.685,411.72
883.984,318.7
884.282,389.69
884.581,343.18
884.879,348.07
885.178,436.2
885.476,492.5
885.774,343.18
886.073,372.55
886.371,389.69
886.669,370.1
886.967,384.79
887.265,436.2
887.563,377.45
887.861,431.3
888.159,382.34
888.457,375
888.754,404.38
889.052,370.1
889.349,338.28
889.647,401.93
889.944,448.44
890.242,433.75
890.539,387.24
890.836,399.48
891.134,441.1
891.431,372.55
891.728,404.38
892.025,326.04
892.322,426.41
892.619,426.41
892.916,397.03
893.212,321.15
893.509,404.38
893.806,404.38
894.103,404.38
894.399,384.79
894.696,465.58
894.992,340.73
895.288,365.21
895.585,379.9
895.881,399.48
896.177,443.54
896.473,401.93
896.769,360.31
897.065,397.03
897.361,421.51
897.657,365.21
897.953,387.24
898.249,338.28
